X,Y,ID,FacilityNbr,FacilityStatus,FacilityName,LicenseType,StreetNbr,StreetName,City,State,Zip,County,OBLicenseNbr,OBBusinessName,OBFName,OBLName,OBTitle,OBAddress,OBAddress2,OBCity,OBState,OBZip,OBPhone1,OBPhone2,OBFax,Date_Opened,Date_Closed,Latitude,Longitude,Addr1,Addr2,F28,Bing,Type_,FFStationNetwork,FFStationNbr,StationNetwork,StationNbr,Geographic_Region,ACO,ACO_Name,ACO_PhoneNbr,DSE,DSE_Name,DSE_PhoneNbr,Field_FLSO,FLSO_Name,FLSO_PhoneNbr,SenateDistrict,AssemblyDistrict,CongressionalDistrict,Alirts_Facility_id,RCO,RCO_Name,RCO_PhoneNbr,PT1,PT1FullName,PT2,PT2FullName,RESPONSIBLE_REGION,ProposedBldgs,ObjectId
-13546419.8429256,4774477.84528094,2,10006,A,Orchard Hospital,General Acute Care,240,Spruce St,Gridley,CA,95948,Butte,OB10006,ORCHARD HOSPITAL,NullValue,NullValue,NullValue,PO Box 97,NullValue,Gridley,CA,95948,5308465671,NullValue,NullValue,1949/05/24 00:00:00+00,1800/01/01 00:00:00+00,39.367691,-121.6895599,"240, Spruce St, Gridley, CA, 95948","240 Spruce St, Gridley, CA 95948",,,,,,,,North Region,JMARTIN,Jamel Martin,9168094341,NSTEPT,Jake Stept,9167045177,JTRUMBAUER,Joshua Trumbauer,9164408332,1,3,1,25,CPONCE,Cesar Ponce,6509062134,SACPT1,PT Intake Sac,SACPT2,PT Closure Sac,North Region,N,2
-13564114.0425913,4829924.39219299,3,10009,A,Enloe Medical Center - Cohasset,General Acute Care,560,Cohasset Rd,Chico,CA,95926,Butte,OB10009,ENLOE MEDICAL CENTER - COHASSET,NullValue,NullValue,NullValue,560 Cohasset Rd,NullValue,Chico,CA,95926,5303325517,NullValue,5308992032,1964/06/19 00:00:00+00,1800/01/01 00:00:00+00,39.7516935,-121.8485096,"560, Cohasset Rd, Chico, CA, 95926","560 Cohasset Rd, Chico, CA 95926",,,,,,,,North Region,JMARTIN,Jamel Martin,9168094341,NSTEPT,Jake Stept,9167045177,JTRUMBAUER,Joshua Trumbauer,9164408332,1,3,1,26,CPONCE,Cesar Ponce,6509062134,SACPT1,PT Intake Sac,SACPT2,PT Closure Sac,North Region,N,4
-13049175.7484562,4003613.70804743,602,13030,A,Kindred Hospital Riverside,General Acute Care,2224,Medical Center Dr,Perris,CA,92571,Riverside,OB13030,KINDRED HOSPITAL RIVERSIDE,NullValue,NullValue,NullValue,2224 Medical Center Dr,NullValue,Perris,CA,92571,9099437380,NullValue,NullValue,1977/01/10 00:00:00+00,1800/01/01 00:00:00+00,33.8122063,-117.2227402,"2224, Medical Center Dr, Perris, CA, 92571","2224 Medical Center Dr, Perris, CA 92571",,,,,,,,South Region,EMARQUEZ,Eduardo Marquez,9162842235,EHILKEY,Erik Hilkey,9165297736,DSUMMERS,Donald Summers,2138048188,31,60,39,333,MMARRS,Michael Marrs,9162842672,LAPT1,PT Intake LA,LAPT2,PT Closure LA,South Region,N,5
-13564280.6322093,4828550.85854194,4,10013,A,Enloe Health,General Acute Care,1531,Esplanade,Chico,CA,95926,Butte,OB10013,ENLOE HEALTH,NullValue,NullValue,NullValue,1531 Esplanade,NullValue,Chico,CA,95926,5308917300,NullValue,5308992067,1946/03/29 00:00:00+00,1800/01/01 00:00:00+00,39.7422066,-121.8500061,"1531, Esplanade, Chico, CA, 95926","1531 Esplanade, Chico, CA 95926",,,,,,,,North Region,JMARTIN,Jamel Martin,9168094341,NSTEPT,Jake Stept,9167045177,JTRUMBAUER,Joshua Trumbauer,9164408332,1,3,1,29,CPONCE,Cesar Ponce,6509062134,SACPT1,PT Intake Sac,SACPT2,PT Closure Sac,North Region,N,6
-13011952.3809024,4061961.024755,604,13035,A,Bear Valley Community Hospital,General Acute Care,41870,Garstin Dr,Big Bear Lake,CA,92315,San Bernardino,OB13035,BEAR VALLEY COMMUNITY HOSPITAL,NullValue,NullValue,NullValue,P. O. Box 1649,NullValue,Big Bear Lake,CA,92315,9098666501,NullValue,NullValue,1974/07/05 00:00:00+00,1800/01/01 00:00:00+00,34.246588,-116.888357,"41870, Garstin Dr, Big Bear Lake, CA, 92315","41870 Garstin Dr, Big Bear Lake, CA 92315",,,,,,,,South Region,MLOLLIS,Michael Lollis,9167201230,EHILKEY,Erik Hilkey,9165297736,DMARTIN,Dean Martin,2138421213,19,34,23,358,MMARRS,Michael Marrs,9162842672,LAPT1,PT Intake LA,LAPT2,PT Closure LA,South Region,N,9
-13529883.1210612,4794327.30695906,6,10019,A,Oroville Hospital,General Acute Care,2767,Olive Hwy,Oroville,CA,95966,Butte,OB10019,Oroville Hospital,NullValue,NullValue,NullValue,2767 Olive Highway,NullValue,Oroville,CA,95966,9165328525,NullValue,9165328293,1962/01/01 00:00:00+00,1800/01/01 00:00:00+00,39.5054054,-121.541008,"2767, Olive Hwy, Oroville, CA, 95966","2767 Olive Hwy, Oroville, CA 95966",,,,,,,,North Region,JMARTIN,Jamel Martin,9168094341,NSTEPT,Jake Stept,9167045177,JTRUMBAUER,Joshua Trumbauer,9164408332,1,3,1,28,CPONCE,Cesar Ponce,6509062134,SACPT1,PT Intake Sac,SACPT2,PT Closure Sac,North Region,N,10
-13519889.5250947,4657046.88133887,10,10025,A,UC Davis Rehabilitation Hospital,General Acute Care,4875,Broadway,Sacramento,CA,95820,Sacramento,OB10025,UC DAVIS REHABILITATION HOSPITAL,NullValue,NullValue,NullValue,4875 Broadway,NullValue,Sacramento,CA,95820,2792246000,NullValue,NullValue,2023/05/17 00:00:00+00,1800/01/01 00:00:00+00,38.547404,-121.451234,"4875, Broadway, Sacramento, CA, 95820","4875 Broadway, Sacramento, CA 95820",,,,,,,,North Region,THO,Tony Ho,9162013281,NSTEPT,Jake Stept,9167045177,MMEISEL-KLEBSCH,Michel Meisel-Klebsch,9164408358,8,6,7,14558,CPONCE,Cesar Ponce,6509062134,SACPT1,PT Intake Sac,SACPT2,PT Closure Sac,North Region,N,14
-13043068.1823299,3912576.68146674,13,10028,A,Kaiser Foundation Hospital - San Marcos,General Acute Care,360,Rush Drive,San Marcos,CA,92078,San Diego,OB10028,KAISER FOUNDATION HOSPITAL - SAN MARCOS,NullValue,NullValue,NullValue,400 Craven Rd,NullValue,San MArcos,CA,92078,6195286295,NullValue,NullValue,2023/07/14 00:00:00+00,1800/01/01 00:00:00+00,33.130035,-117.167875,"360, Rush Drive, San Marcos, CA, 92078","360 Rush Drive, San Marcos, CA 92078",,,,,,,,South Region,DWOLFE,Daniel Wolfe,2139440519,CCHU,Chung-Chi Chu,2138048741,DSUMMERS,Donald Summers,2138048188,40,76,50,14826,MMARRS,Michael Marrs,9162842672,LAPT1,PT Intake LA,LAPT2,PT Closure LA,South Region,N,17
-13432923.5996774,4606330.29838119,14,10029,A,Mark Twain Medical Center,General Acute Care,768,Mountain Ranch Rd,San Andreas,CA,95249,Calaveras,OB10029,MARK TWAIN MEDICAL CENTER,NullValue,NullValue,NullValue,768 Mountain Ranch Road,NullValue,San Andreas,CA,95249,2097543521,NullValue,NullValue,1951/08/21 00:00:00+00,1800/01/01 00:00:00+00,38.1902046,-120.6700058,"768, Mountain Ranch Rd, San Andreas, CA, 95249","768 Mountain Ranch Rd, San Andreas, CA 95249",,,,,,,,North Region,MABOLHASSANI,Masoud Abolhassani,9166284051,NSTEPT,Jake Stept,9167045177,ABILLIET,Adam Billiet,9162046950,4,8,5,32,CPONCE,Cesar Ponce,6509062134,SACPT1,PT Intake Sac,SACPT2,PT Closure Sac,North Region,N,18
-13336589.9609986,4422999.46162972,15,10030,A,River Vista Behavioral Health,Acute Psychiatric Hospital,40886,Goodwin Way,Madera,CA,93636,Madera,OB10030,RIVER VISTA BEHAVIORAL HEALTH,NullValue,NullValue,NullValue,40886 Goodwin Way,NullValue,Madera,CA,93636,5596036000,NullValue,NullValue,2023/08/03 00:00:00+00,1800/01/01 00:00:00+00,36.884354,-119.804626,"40886, Goodwin Way, Madera, CA, 93636","40886 Goodwin Way, Madera, CA 93636",,,,,,,,Central Region,GCHRISTIANSEN,George Christiansen,9094969509,DMAYER,Douglas Mayer,9165297701,ABILLIET,Adam Billiet,9162046950,4,8,5,14829,KJANSEN,Kip Jansen,9162020047,SACPT1,PT Intake Sac,SACPT2,PT Closure Sac,Central Region,N,19
