Population (American Indian or Alaska Native) for California by County
"Both Sexes, All Ages, 2018-2022"
Sorted by Value

County,FIPS,Value (Percent),People (AI/AN),Rank within US (of 3143 counties)
"United States",00000,0.8,2786431,"N/A"
"California",06000,1.0,394188,"15 of 52"
"Marin County",06041,0.4,1131,"1,222"
"Nevada County",06057,0.4,445,"1,220"
"Placer County",06061,0.5,1838,"1,173"
"El Dorado County",06017,0.6,1056,"1,019"
"San Francisco County",06075,0.6,4725,"1,013"
"Orange County",06059,0.6,19759,"937"
"Santa Clara County",06085,0.7,12641,"897"
"Contra Costa County",06013,0.7,8354,"847"
"Solano County",06095,0.7,3273,"839"
"Yolo County",06113,0.7,1628,"816"
"Sacramento County",06067,0.7,11842,"814"
"Monterey County",06053,0.8,3430,"787"
"San Diego County",06073,0.8,27270,"759"
"Alameda County",06001,0.9,14165,"746"
"San Mateo County",06081,0.9,6446,"743"
"San Luis Obispo County",06079,0.9,2487,"732"
"Santa Cruz County",06087,0.9,2541,"689"
"Riverside County",06065,1.0,23446,"679"
"Napa County",06055,1.0,1386,"657"
"San Joaquin County",06077,1.0,7932,"652"
"Sonoma County",06097,1.1,5200,"631"
"Kern County",06029,1.1,9970,"610"
"Los Angeles County",06037,1.1,111096,"605"
"Butte County",06007,1.1,2426,"599"
"San Bernardino County",06071,1.2,25467,"582"
"Merced County",06047,1.2,3311,"580"
"Amador County",06005,1.2,480,"575"
"Stanislaus County",06099,1.2,6802,"551"
"Ventura County",06111,1.3,10595,"545"
"Calaveras County",06009,1.3,592,"535"
"Madera County",06039,1.3,2046,"534"
"Fresno County",06019,1.3,13573,"514"
"Tulare County",06107,1.4,6492,"505"
"Santa Barbara County",06083,1.4,6107,"504"
"Tehama County",06103,1.4,911,"502"
"Yuba County",06115,1.4,1166,"491"
"Imperial County",06025,1.5,2634,"486"
"Colusa County",06011,1.5,331,"477"
"Tuolumne County",06109,1.6,854,"467"
"Mono County",06051,1.6,207,"463"
"Mariposa County",06043,1.6,276,"451"
"Sutter County",06101,1.6,1609,"444"
"Kings County",06031,1.7,2596,"432"
"Plumas County",06063,1.7,336,"431"
"Shasta County",06089,1.8,3234,"421"
"San Benito County",06069,1.9,1227,"401"
"Lassen County",06035,2.3,721,"349"
"Glenn County",06021,2.3,667,"341"
"Sierra County",06091,2.7,78,"305"
"Lake County",06033,3.0,2032,"289"
"Modoc County",06049,3.1,270,"282"
"Trinity County",06105,3.2,503,"275"
"Siskiyou County",06093,3.2,1402,"273"
"Mendocino County",06045,3.8,3500,"233"
"Humboldt County",06023,4.1,5521,"224"
"Del Norte County",06015,7.2,1965,"151"
"Inyo County",06027,9.6,1805,"118"
"Alpine County",06003,25.8,391,"48"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 2/15/2025. Available from https://hdpulse.nimhd.nih.gov

Notes:
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population (American Indian or Alaska Native), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#population."
