Population (Black or African American) for California by County
"Both Sexes, All Ages, 2018-2022"
Sorted by Value

County,FIPS,Value (Percent),People (Black),Rank within US (of 3143 counties)
"California",06000,5.6,2202587,"32 of 52"
"United States",00000,12.5,41288572,"N/A"
"Alpine County",06003,0.0,0,"3,056"
"Sierra County",06091,0.2,7,"2,832"
"Mono County",06051,0.3,40,"2,766"
"Glenn County",06021,0.4,102,"2,712"
"Nevada County",06057,0.4,376,"2,703"
"Mendocino County",06045,0.7,658,"2,336"
"El Dorado County",06017,0.7,1405,"2,326"
"Mariposa County",06043,0.8,140,"2,239"
"San Benito County",06069,1.0,617,"2,128"
"Tehama County",06103,1.0,626,"2,126"
"Inyo County",06027,1.0,181,"2,119"
"Shasta County",06089,1.0,1758,"2,116"
"Calaveras County",06009,1.0,450,"2,104"
"Santa Cruz County",06087,1.1,2839,"2,052"
"San Luis Obispo County",06079,1.2,3486,"1,932"
"Humboldt County",06023,1.4,1866,"1,876"
"Trinity County",06105,1.4,218,"1,875"
"Tuolumne County",06109,1.5,846,"1,818"
"Sonoma County",06097,1.6,7589,"1,810"
"Siskiyou County",06093,1.6,709,"1,788"
"Placer County",06061,1.6,6579,"1,784"
"Tulare County",06107,1.6,7695,"1,780"
"Colusa County",06011,1.7,367,"1,761"
"Orange County",06059,1.7,53753,"1,757"
"Amador County",06005,1.7,706,"1,741"
"Plumas County",06063,1.8,350,"1,725"
"Ventura County",06111,1.8,15042,"1,724"
"Butte County",06007,1.8,3862,"1,713"
"Napa County",06055,1.8,2520,"1,703"
"Santa Barbara County",06083,1.9,8431,"1,679"
"Modoc County",06049,1.9,166,"1,665"
"Sutter County",06101,2.0,1940,"1,655"
"Monterey County",06053,2.2,9778,"1,570"
"Lake County",06033,2.3,1538,"1,563"
"San Mateo County",06081,2.3,17238,"1,557"
"Marin County",06041,2.4,6224,"1,530"
"Santa Clara County",06085,2.4,45838,"1,529"
"Imperial County",06025,2.6,4608,"1,495"
"Madera County",06039,2.6,4091,"1,481"
"Del Norte County",06015,2.7,747,"1,452"
"Yolo County",06113,2.7,5971,"1,449"
"Stanislaus County",06099,2.8,15731,"1,439"
"Merced County",06047,3.0,8329,"1,419"
"Yuba County",06115,3.6,2906,"1,319"
"Fresno County",06019,4.5,45035,"1,183"
"San Diego County",06073,4.8,158553,"1,149"
"Kern County",06029,5.2,46915,"1,115"
"San Francisco County",06075,5.2,44058,"1,114"
"Kings County",06031,6.5,9848,"997"
"Riverside County",06065,6.5,157125,"994"
"San Joaquin County",06077,7.0,54792,"950"
"Los Angeles County",06037,7.9,780993,"897"
"San Bernardino County",06071,7.9,171762,"893"
"Lassen County",06035,8.4,2682,"854"
"Contra Costa County",06013,8.7,101345,"838"
"Sacramento County",06067,9.6,151960,"801"
"Alameda County",06001,10.2,169497,"774"
"Solano County",06095,13.2,59699,"652"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 2/15/2025. Available from https://hdpulse.nimhd.nih.gov

Notes:
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population (Black or African American), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#population."
