Population (White) for California by County
"Both Sexes, All Ages, 2018-2022"
Sorted by Value

County,FIPS,Value (Percent),People (White),Rank within US (of 3143 counties)
"California",06000,48.1,18943660,"49 of 52"
"United States",00000,65.9,218123424,"N/A"
"Alameda County",06001,34.0,565911,"3,063"
"Santa Clara County",06085,36.2,693455,"3,053"
"Imperial County",06025,39.5,70860,"3,021"
"Los Angeles County",06037,39.6,3937901,"3,019"
"Monterey County",06053,39.7,173937,"3,018"
"Merced County",06047,41.6,117491,"2,999"
"San Francisco County",06075,41.9,356474,"2,994"
"San Joaquin County",06077,42.1,328081,"2,991"
"San Mateo County",06081,43.4,327625,"2,981"
"San Bernardino County",06071,44.7,975461,"2,963"
"Solano County",06095,46.0,207575,"2,945"
"Contra Costa County",06013,46.6,542206,"2,936"
"Riverside County",06065,46.8,1138018,"2,933"
"Fresno County",06019,48.0,483826,"2,920"
"Madera County",06039,49.1,77220,"2,910"
"Sacramento County",06067,49.8,785699,"2,899"
"Orange County",06059,50.2,1594137,"2,895"
"Tulare County",06107,50.9,240811,"2,884"
"Kings County",06031,51.6,78680,"2,870"
"San Benito County",06069,53.8,34864,"2,837"
"Sutter County",06101,54.2,53760,"2,830"
"Kern County",06029,56.1,509039,"2,808"
"Stanislaus County",06099,57.3,316065,"2,777"
"San Diego County",06073,57.8,1899871,"2,760"
"Yolo County",06113,58.8,127655,"2,729"
"Santa Barbara County",06083,60.8,270657,"2,679"
"Colusa County",06011,60.9,13290,"2,673"
"Alpine County",06003,63.4,961,"2,600"
"Napa County",06055,63.6,87333,"2,594"
"Yuba County",06115,64.5,52705,"2,555"
"Ventura County",06111,64.7,544398,"2,552"
"Santa Cruz County",06087,65.7,176572,"2,510"
"Glenn County",06021,67.5,19350,"2,436"
"Sonoma County",06097,67.7,330543,"2,429"
"Inyo County",06027,68.9,12980,"2,384"
"Del Norte County",06015,69.1,18969,"2,381"
"Lake County",06033,70.9,48251,"2,308"
"Lassen County",06035,71.6,22816,"2,276"
"Mendocino County",06045,73.6,67114,"2,197"
"Marin County",06041,73.8,192209,"2,190"
"Tehama County",06103,74.5,48781,"2,158"
"Humboldt County",06023,75.0,102072,"2,134"
"Placer County",06061,75.4,306615,"2,117"
"Butte County",06007,75.7,161779,"2,105"
"San Luis Obispo County",06079,76.8,216354,"2,062"
"Mono County",06051,79.0,10437,"1,944"
"Siskiyou County",06093,80.0,35233,"1,893"
"Amador County",06005,80.3,32583,"1,881"
"Trinity County",06105,80.7,12828,"1,861"
"Shasta County",06089,81.8,148667,"1,801"
"Mariposa County",06043,82.0,14043,"1,789"
"El Dorado County",06017,82.5,158083,"1,755"
"Calaveras County",06009,83.1,37974,"1,706"
"Modoc County",06049,83.2,7196,"1,702"
"Tuolumne County",06109,84.2,46316,"1,629"
"Plumas County",06063,87.8,17247,"1,366"
"Nevada County",06057,88.0,90082,"1,335"
"Sierra County",06091,89.2,2600,"1,223"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 2/15/2025. Available from https://hdpulse.nimhd.nih.gov

Notes:
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population (White), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#population."
