Population (Hispanic) for California by County
"Both Sexes, All Ages, 2018-2022"
Sorted by Value

County,FIPS,Value (Percent),People (Hispanic),Rank within US (of 3143 counties)
"United States",00000,18.7,61755866,"N/A"
"California",06000,39.7,15617930,"4 of 52"
"Trinity County",06105,7.5,1198,"1,053"
"Plumas County",06063,10.0,1959,"819"
"Nevada County",06057,10.0,10202,"818"
"Shasta County",06089,11.0,19988,"753"
"Sierra County",06091,11.4,332,"724"
"Humboldt County",06023,12.6,17129,"659"
"Tuolumne County",06109,12.9,7079,"646"
"Mariposa County",06043,13.0,2223,"642"
"Siskiyou County",06093,13.5,5957,"623"
"El Dorado County",06017,13.5,25930,"622"
"Calaveras County",06009,13.6,6197,"618"
"Alpine County",06003,14.1,213,"586"
"Placer County",06061,14.9,60469,"562"
"Amador County",06005,15.1,6140,"550"
"Modoc County",06049,15.3,1325,"544"
"San Francisco County",06075,15.5,131517,"539"
"Marin County",06041,16.6,43143,"502"
"Butte County",06007,18.0,38361,"469"
"Del Norte County",06015,20.4,5607,"404"
"Lassen County",06035,20.4,6517,"402"
"Alameda County",06001,22.2,369603,"373"
"Lake County",06033,23.0,15672,"361"
"San Luis Obispo County",06079,23.4,65946,"355"
"Inyo County",06027,23.9,4500,"347"
"San Mateo County",06081,23.9,180393,"346"
"Sacramento County",06067,24.0,378350,"342"
"Santa Clara County",06085,24.9,476352,"327"
"Contra Costa County",06013,26.4,306895,"296"
"Mendocino County",06045,26.8,24414,"293"
"Tehama County",06103,26.9,17585,"290"
"Mono County",06051,27.1,3582,"286"
"Sonoma County",06097,28.0,136614,"275"
"Solano County",06095,28.0,126198,"274"
"Yuba County",06115,29.8,24353,"251"
"Yolo County",06113,32.2,69989,"222"
"Sutter County",06101,32.3,31993,"221"
"Orange County",06059,33.9,1077367,"204"
"Santa Cruz County",06087,34.2,91923,"201"
"San Diego County",06073,34.5,1134647,"195"
"Napa County",06055,35.1,48182,"192"
"San Joaquin County",06077,42.5,331382,"149"
"Glenn County",06021,43.3,12418,"140"
"Ventura County",06111,43.6,367039,"139"
"Santa Barbara County",06083,46.6,207576,"123"
"Stanislaus County",06099,48.6,268427,"114"
"Los Angeles County",06037,48.7,4837594,"113"
"Riverside County",06065,50.8,1233277,"103"
"Fresno County",06019,54.2,546774,"92"
"San Bernardino County",06071,55.0,1200147,"90"
"Kern County",06029,55.3,501705,"88"
"Kings County",06031,56.1,85622,"84"
"Madera County",06039,59.7,93855,"66"
"Monterey County",06053,59.9,261954,"64"
"Colusa County",06011,60.9,13280,"60"
"San Benito County",06069,61.4,39768,"57"
"Merced County",06047,61.9,174732,"54"
"Tulare County",06107,66.1,312954,"41"
"Imperial County",06025,85.4,153382,"16"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 2/15/2025. Available from https://hdpulse.nimhd.nih.gov

Notes:
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population (Hispanic), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#population."
