,Year,County,ICD,AdmitsTotal,ReadmitsTotal,ReadmissionRate,PCPI,Population,AdmitsProp,ReadmitsProp,FIPS,PercentAIAN,PeopleAIAN,PercentHispanic,PeopleHispanic,PercentBlack,PeopleBlack,PercentWhite,PeopleWhite,PercentAPI,PeopleAPI
0,2018,Alameda,ICD-10,62646.0,9882.0,15.77,74193.0,1666596,0.0375891937818163,0.0059294514087397,6001,0.9,14165,22.2,369603,10.2,169497,34.0,565911,32.9,547491
1,2018,Alpine,ICD-10,18.0,2.0,11.11,74453.0,1081,0.0166512488436632,0.001850138760407,6003,25.8,391,14.1,213,0.0,0,63.4,961,0.2,3
2,2018,Amador,ICD-10,2877.0,458.0,15.92,41827.0,39349,0.0731149457419502,0.0116394317517598,6005,1.2,480,15.1,6140,1.7,706,80.3,32583,1.3,534
3,2018,Butte,ICD-10,23190.0,4151.0,17.9,42630.0,230330,0.1006816307037728,0.0180219684800069,6007,1.1,2426,18.0,38361,1.8,3862,75.7,161779,5.6,11862
4,2018,Calaveras,ICD-10,2941.0,411.0,13.97,47296.0,45747,0.0642883686361947,0.0089841956849629,6009,1.3,592,13.6,6197,1.0,450,83.1,37974,2.0,933
5,2018,Colusa,ICD-10,1195.0,185.0,15.48,45624.0,21389,0.0558698396371966,0.0086493057178923,6011,1.5,331,60.9,13280,1.7,367,60.9,13290,0.9,187
6,2018,Contra Costa,ICD-10,51183.0,7884.0,15.4,78504.0,1150840,0.0444744708213131,0.0068506482221681,6013,0.7,8354,26.4,306895,8.7,101345,46.6,542206,18.8,218370
7,2018,Del Norte,ICD-10,1416.0,178.0,12.57,35090.0,27793,0.0509480804519123,0.006404490339294,6015,7.2,1965,20.4,5607,2.7,747,69.1,18969,3.4,938
8,2018,El Dorado,ICD-10,10371.0,1434.0,13.83,66033.0,190925,0.0543197590676967,0.0075108026712059,6017,0.6,1056,13.5,25930,0.7,1405,82.5,158083,5.4,10275
9,2018,Fresno,ICD-10,48893.0,7348.0,15.03,40606.0,991298,0.0493222018000641,0.0074125036063827,6019,1.3,13573,54.2,546774,4.5,45035,48.0,483826,10.9,109819
10,2018,Glenn,ICD-10,2126.0,314.0,14.77,42536.0,27899,0.0762034481522635,0.0112548836875873,6021,2.3,667,43.3,12418,0.4,102,67.5,19350,3.6,1026
11,2018,Humboldt,ICD-10,7449.0,957.0,12.85,43823.0,136502,0.0545706290017728,0.0070108862873804,6023,4.1,5521,12.6,17129,1.4,1866,75.0,102072,3.5,4775
12,2018,Imperial,ICD-10,8453.0,1205.0,14.26,35217.0,181062,0.046685665683578,0.0066551788889993,6025,1.5,2634,85.4,153382,2.6,4608,39.5,70860,1.5,2769
13,2018,Inyo,ICD-10,852.0,79.0,9.27,54870.0,17894,0.0476137252710405,0.0044148876718453,6027,9.6,1805,23.9,4500,1.0,181,68.9,12980,2.7,500
14,2018,Kern,ICD-10,39488.0,5471.0,13.85,37557.0,893618,0.0441889039835813,0.0061223028184302,6029,1.1,9970,55.3,501705,5.2,46915,56.1,509039,5.1,46612
15,2018,Kings,ICD-10,6010.0,879.0,14.63,35042.0,151221,0.0397431573657097,0.0058126847461662,6031,1.7,2596,56.1,85622,6.5,9848,51.6,78680,4.1,6318
16,2018,Lake,ICD-10,5227.0,813.0,15.55,38998.0,64394,0.0811721588967916,0.0126253998819765,6033,3.0,2032,23.0,15672,2.3,1538,70.9,48251,1.6,1122
17,2018,Lassen,ICD-10,798.0,72.0,9.02,32629.0,30658,0.0260290951790723,0.0023484897905929,6035,2.3,721,20.4,6517,8.4,2682,71.6,22816,2.7,871
18,2018,Los Angeles,ICD-10,475044.0,74910.0,15.77,59004.0,10061533,0.0472138788393379,0.0074451875275865,6037,1.1,111096,48.7,4837594,7.9,780993,39.6,3937901,15.1,1497034
19,2018,Madera,ICD-10,7023.0,999.0,14.22,37414.0,156373,0.0449118453953048,0.0063885709169741,6039,1.3,2046,59.7,93855,2.6,4091,49.1,77220,2.4,3809
20,2018,Marin,ICD-10,10779.0,1365.0,12.66,128091.0,260091,0.041443187192175,0.0052481631428999,6041,0.4,1131,16.6,43143,2.4,6224,73.8,192209,6.5,16833
21,2018,Mariposa,ICD-10,1069.0,139.0,13.0,51043.0,17361,0.0615747940786821,0.0080064512412879,6043,1.6,276,13.0,2223,0.8,140,82.0,14043,1.7,292
22,2018,Mendocino,ICD-10,5400.0,795.0,14.72,45250.0,87549,0.0616797450570537,0.0090806291333995,6045,3.8,3500,26.8,24414,0.7,658,73.6,67114,2.2,2047
23,2018,Merced,ICD-10,14124.0,2236.0,15.83,36820.0,273733,0.0515977247902152,0.0081685437999802,6047,1.2,3311,61.9,174732,3.0,8329,41.6,117491,7.6,21397
24,2018,Modoc,ICD-10,300.0,37.0,12.33,43751.0,8816,0.0340290381125226,0.0041969147005444,6049,3.1,270,15.3,1325,1.9,166,83.2,7196,1.4,123
25,2018,Mono,ICD-10,296.0,31.0,10.47,49783.0,14400,0.0205555555555555,0.0021527777777777,6051,1.6,207,27.1,3582,0.3,40,79.0,10437,4.1,542
26,2018,Monterey,ICD-10,19247.0,2399.0,12.46,52346.0,433359,0.0444135231990105,0.0055358259549242,6053,0.8,3430,59.9,261954,2.2,9778,39.7,173937,6.4,28065
27,2018,Napa,ICD-10,6819.0,1059.0,15.53,69010.0,138620,0.0491920357812725,0.0076395902467176,6055,1.0,1386,35.1,48182,1.8,2520,63.6,87333,8.3,11382
